id,date,words
4,2015.04.16,"BIM,活用,バーチャル,設計,コンペティション,Build,Live,Japan,2015,以下,BLJ,2015,今年度,課題,敷地,大分,県,杵築,市,設定,決定,課題,敷地,決定,杵築,市,人口,3,万,人,城下町,高低,差,歴史,的,景観,特徴,BLJ,2015,IAI,日本,主催,8,回,目,今年,開催,杵築,市,協力,もと,開催,BLJ,2015,街,活性,化,リアル,官民,取り組み,BIM,提案,参加,チーム,コンペ,模様,街,人々,共有,コミュニケーション,新た,手法,チャレンジ,今年度,社会,人,チーム,参加,数,増加,方策,準備,中,BLJ,2015,9,月頃,開催,予定,詳細,今後,段階,的,発表,"
5,2015.04.16,"2007,年,設計,プロセス,BIM,プロジェクト,活用,安井,建築,設計,事務所,クライアントメリット,プロジェクト,BIM,活用,展開,ステップ,先進,的,BIM,YASUI,STYLE,BIM,展開,同社,設計,青海,総合,庁舎,北本,市庁舎,加賀電子,ビル,BIM,活用,プロジェクト,竣工,実践,発展,基盤,BIM,データベース,同社,情報,受け皿,､,現在,BIMDesign,､,BIMFM,､,BIMCost,3,BIM,システム,総括,BIMDesign,､,BIMFM,実践,BIMCost,プロジェクト,プロセス,中,一部,実践,現実味,BIM,Value,Cost,最適,ソリューション,同社,今後,取り組み,実践,注目,"
6,2015.04.16,"一般,社団,法人,IAI,日本,1,回,目,IFC,検定,実施,3,月,31,日,検定,合格,ソフトウェア,発表,1,回,目,IFC,検定,設備,モデルビュー,定義,2014,検定,区分,出力,NYK,システムズシスプロ,四電工,合格,検定,区分,入力,エーアンドエー,GSA,合格,IFC,Industry,Foundation,Classes,略,2013,年,国際,標準,(,ISO,16739,:,2013,),発行,中立,オープン,BIM,データ,連携,手段,国内外,活用,増加,3,次元,データ,形式,日本,BIM,利用,今後,BIM,利用,関係,者,BIM,モデル,必要,よう,BIM,データ,ルール,"
7,2015.04.16,"大林,組,BIM,連携,自社,開発,空調,設計,支援,システム,BIMZONE,ビムゾーンシグマ,追加,機能,熱,負荷,計算,条件,自動,設定,機能,開発,機能,煩雑,熱,負荷,算用,データ,自動,作成,手動,入力,作業,原則,不要,そ,設計,者,作業,負担,大幅,低減,さまざま,熱,負荷,削減,手法,検討,注力,でき,精度,効果,的,省エネ,建築,設計,可能,BIMZONE,BIM,連携,高,精度,動的,熱,負荷,計算,プログラム,NewHASPACLD,利用,国内,システム,建築,物,熱,負荷,削減,数,建築,物,省エネルギー,手法,中,効果,的,手法,同社,今回,機能,活用,効果,的,省エネルギー,建築,設計,顧客,多様,ニーズ,設計,施工,追求,"
8,2015.04.16,"国土,交通省,4,月,10,日,平成,27,年,2,月,分,建設,工事,受注,動態,統計,調査,公表,国土,交通省,総合,政策,局,発表,資料,平成,27,年,2,月,分,建設,工事,受注,総額,5,兆,9,,,280,億,円,比,8,.,3,％,増加,5,連続,増加,受注,者,別,請受注,高,4,兆,882,億,円,比,15,.,9,%,増,5,連続,増加,下請,受注,高,1,兆,8,,,397,億,円,5,.,5,%,減,3,連続,減少,請受注,高,うち,公共,機関,受注,高,1,兆,1,,,005,億,円,比,5,.,0,%,減,民間,等,受注,高,2,兆,9,,,878,億,円,26,.,0,%,増加,工事,種類,別,建築,工事,2,兆,6,,,212,億,円,比,20,.,1,%,増,5,連続,増加,土木,工事,1,兆,369,億,円,1,.,1,%,増,2,連続,増加,機械,装置,等,工事,4,,,301,億,円,33,.,9,%,増,2,連続,増加,"
10,2015.04.16,"竹中工務店,ローン,小型,無人,飛行機,活用,仮称,吹田,市立,スタジアム,作業,所,工事,日常,管理,業務,効率,化,スタジアム,工事,同時,並行,的,作業,管理,者,作業,場所,均一,管理,必要,ドローン,撮影,映像,作業,状況,確認,実践,品質,安全,管理,安全,事項,伝達,GPS,機能,ローン,使用,巡回,ルート,記憶,人手,不足,夜間,巡回,警備,はじめ,異常,事態,発生,時,状況,確認,活用,撮影,用,ヘリコプター,自由,度,工事,記録,鳥瞰,撮影,利用,同社,屋根,設置,後,管理,者,箇所,状況,映像,確認,ローン,活用,幅,今後,方針,"
12,2015.04.16,"一般,社団,法人,日本,建設,業,連合,会,以下,日建,連,建築,生産,委員,会,IT,推進,部会,BIM,専門,部会,施工,BIM,スタイル,－,施工,段階,請,専門,工事,会社,連携,手引き,2014,昨年,12,月,刊行,同書,施工,段階,BIM,活用,際,請会社,専門,工事,会社,双方,メリット,享受,具体,的,運用,方法,事例,手引き,同書,発行,IT,推進,部会,中,4,部会,1,BIM,専門,部会,専門,工事,会社,継続,的,情報,交換,BIM,関連,団体,連携,情報,交換,多数,オブザーバー,参加,施工,段階,BIM,活用,メリット,増大,目的,活動,"
13,2015.04.16,"一般,社団,法人,日本,建築,学会,常設,委員,会,一つ,情報,システム,技術,委員,会,建築,都市,情報,科学,技術,関係,調査,啓蒙,活動,情報,システム,技術,委員,会,委員,会,一つ,前衛,的,ポジション,アルゴリズミック,デザイン,小,委員,会,同小,委員,会,アルゴリズミック,デザイン,関連,委員,最新,活動,内容,情報,交換,研究,会,シンポジウム,開催,アルゴリズミック,デザイン,小,委員,会,主査,大阪市立大学,大学院,准,教授,瀧澤,重,志,氏,委員,15,名,そ,15,名,委員,構成,特徴,的,大学,意匠,系,計画,系,構造,系,研究,者,建築,家,構造,技術,者,タイプ,デジタル,系,エンジニア,多岐,同小,委員,会,実績,2009,年,3,月,出版,書籍,アルゴリズ,"
14,2015.04.16,"一般,社団,法人,IAI,日本,BIM,活用,バーチャル,設計,コンペティション,Build,Live,Japan,2015,以下,BLJ,2015,開催,今年度,課題,敷地,大分,県,杵築,市,設定,発表,8,回,目,今年度,9,月頃,開催,予定,杵築,市,協力,開催,今年,BLJ,2015,BIM,地域,創,生,テーマ,街,活性,化,リアル,官民,取り組み,BIM,提案,参加,チーム,コンペ,模様,街,人々,共有,コミュニケーション,新た,手法,チャレンジ,課題,敷地,決定,杵築,市,人口,3,万,人,城下町,高低,差,歴史,的,景観,特徴,こ,街,観光,客,高台,屋敷,中心,商店,街,回遊,現在,商店,街,空き地,目,立,"
15,2015.04.16,"一般,財団,法人,建築,保全,センター,次世代,公共,建築,研究,会,IFC,BIM,部会,BIM,活用,研究,BIM,普及,さまざま,活動,IFC,BIM,部会,東京工業大学,大学院,教授,安田,幸一,氏,部会,長,参加,会員,オブザーバー,40,名,メンバー,構成,産学,官,共同,BIM,運用,研究,部会,外国,BIM,ガイドライン,BIM,活用,事例,収集,分析,研究,活動,日本,BIM,活用,現状,課題,分析,BIM,利用,広がり,発注,者,受注,者,さまざま,立場,組織,統合,的,情報,インフラ,現状,課題,部会,こ,課題,解決,BIM,普及,統一,的,BIM,ガイド,ライ,"
